identifier;clientType;productName;testDuration;leadCount;period;installments;plan;isActive;isCoupon;valueToPay;webhookUrl
IVDZ987LK6IW;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
BN6SUED6RR99;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
ST4HVIJWRLJB;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
SYL4SNYKL4BW;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
advanced-997;LOWTICKET;ChatFunnel;0;15000;MONTHLY;0;ADVANCED;TRUE;FALSE;0;
PRO30D;LOWTICKET;ChatFunnel Pro;30;5000;MONTHLY;0;PREMIUM;TRUE;FALSE;0;
PRO_DESC200;LOWTICKET;ChatFunnel PRO - Desconto nos primeiros 3 meses;0;5000;MONTHLY;1;PREMIUM;TRUE;FALSE;29700;
ADVANCED_DESC200;LOWTICKET;ChatFunnel Advanced - Desconto nos primeiros 3 meses;0;15000;MONTHLY;1;ADVANCED;TRUE;FALSE;79700;
76JN2O8G48UR;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
plano-pro;LOWTICKET;ChatFunnel;0;5000;MONTHLY;0;PREMIUM;TRUE;FALSE;49700;
NHE4VKJNIKLD;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
pro-trial-14-anual;LOWTICKET;ChatFunnel PRO;14;5000;YEARLY;0;PREMIUM;TRUE;FALSE;0;
pro-trial-7-monthly;LOWTICKET;ChatFunnel PRO;7;5000;MONTHLY;0;PREMIUM;TRUE;FALSE;0;
ZOCOGU8E3BRZ;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
JNJQXJ9OMVR4;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
ZJAUVEJU6AGT;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
SPPMI0CPUVVQ;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
BYALEVG7AHYF;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
AJLJ07LITDTJ;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
YDUKGEHHBOZN;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
AL9NOH1KLLCH;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
monthly-pro-5k-leticia;LOWTICKET;ChatFunnel;0;5000;MONTHLY;0;PREMIUM;TRUE;FALSE;49700;
monthly-pro-15k-leticia;LOWTICKET;ChatFunnel;0;15000;MONTHLY;0;PREMIUM;TRUE;FALSE;79700;
yearly-pro-5k-leticia;LOWTICKET;ChatFunnel;0;5000;YEARLY;0;PREMIUM;TRUE;FALSE;397600;
yearly-pro-15k-leticia;LOWTICKET;ChatFunnel;0;15000;YEARLY;0;PREMIUM;TRUE;FALSE;637600;
monthly-pro-5k-alex;LOWTICKET;ChatFunnel;0;5000;MONTHLY;0;PREMIUM;TRUE;FALSE;49700;
monthly-pro-15k-alex;LOWTICKET;ChatFunnel;0;15000;MONTHLY;0;PREMIUM;TRUE;FALSE;79700;
yearly-pro-5k-alex;LOWTICKET;ChatFunnel;0;5000;YEARLY;0;PREMIUM;TRUE;FALSE;397600;
yearly-pro-15k-alex;LOWTICKET;ChatFunnel;0;15000;YEARLY;0;PREMIUM;TRUE;FALSE;637600;
monthly-advanced-15k-alex;LOWTICKET;ChatFunnel;0;15000;MONTHLY;0;ADVANCED;TRUE;FALSE;99700;
yearly-advanced-15k-alex;LOWTICKET;ChatFunnel;0;15000;YEARLY;0;ADVANCED;TRUE;FALSE;797600;
GCN9LORXY8ZR;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
monthly-advanced-15k-leticia;LOWTICKET;ChatFunnel;0;15000;MONTHLY;0;ADVANCED;TRUE;FALSE;99700;
monthly-advanced-5K-leticia;LOWTICKET;ChatFunnel;0;5000;MONTHLY;0;ADVANCED;TRUE;FALSE;79700;
monthly-advanced-15k-leticia-trial;LOWTICKET;ChatFunnel;7;15000;MONTHLY;0;ADVANCED;TRUE;FALSE;0;
pro-mensal;LOWTICKET;ChatFunnel;7;5000;MONTHLY;0;PREMIUM;TRUE;FALSE;0;
pro-anual;LOWTICKET;ChatFunnel;14;5000;YEARLY;0;PREMIUM;TRUE;FALSE;0;
yearly-advanced-15k-leticia;LOWTICKET;ChatFunnel;0;15000;YEARLY;0;ADVANCED;TRUE;FALSE;0;
monthly-pro-5k-jo;LOWTICKET;ChatFunnel;0;5000;MONTHLY;0;PREMIUM;TRUE;FALSE;49700;
monthly-pro-15k-jo;LOWTICKET;ChatFunnel;0;15000;MONTHLY;0;PREMIUM;TRUE;FALSE;79700;
yearly-pro-5k-jo;LOWTICKET;ChatFunnel;0;5000;YEARLY;0;PREMIUM;TRUE;FALSE;397600;
yearly-pro-15k-jo;LOWTICKET;ChatFunnel;0;15000;YEARLY;0;PREMIUM;TRUE;FALSE;637600;
monthly-advanced-15k-jo;LOWTICKET;ChatFunnel;0;15000;MONTHLY;0;ADVANCED;TRUE;FALSE;99700;
monthly-advanced-5K-jo;LOWTICKET;ChatFunnel;0;5000;MONTHLY;0;ADVANCED;TRUE;FALSE;79700;
monthly-advanced-15k-jo-trial;LOWTICKET;ChatFunnel;7;15000;MONTHLY;0;ADVANCED;TRUE;FALSE;0;
yearly-advanced-15k-jo;LOWTICKET;ChatFunnel;0;15000;YEARLY;0;ADVANCED;TRUE;FALSE;0;
yearly-advanced;LOWTICKET;ChatFunnel;7;15000;YEARLY;0;ADVANCED;TRUE;FALSE;0;
monthly-advanced;LOWTICKET;ChatFunnel;7;15000;MONTHLY;0;ADVANCED;TRUE;FALSE;0;
monthly-pro;LOWTICKET;ChatFunnel;7;5000;MONTHLY;0;PREMIUM;TRUE;FALSE;0;
yearly-pro;LOWTICKET;ChatFunnel;7;5000;YEARLY;0;PREMIUM;TRUE;FALSE;0;
monthly-advanced-30-days;LOWTICKET;ChatFunnel;30;15000;MONTHLY;0;ADVANCED;TRUE;FALSE;0;
payment-now-pro;LOWTICKET;ChatFunnel;0;5000;MONTHLY;0;PREMIUM;TRUE;FALSE;0;
payment-now-advanced;LOWTICKET;ChatFunnel;0;15000;MONTHLY;0;ADVANCED;TRUE;FALSE;0;
payment-now-pro-yearly;LOWTICKET;ChatFunnel;0;5000;YEARLY;0;PREMIUM;TRUE;FALSE;0;
payment-now-advanced-yearly;LOWTICKET;ChatFunnel;0;15000;YEARLY;0;ADVANCED;TRUE;FALSE;0;
XPRLQZNW7T9K;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
IMERSAO30;LOWTICKET;ChatFunnel - Imersão;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
TAP30PRO;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
pro-one-brl;LOWTICKET;ChatFunnel;0;5000;MONTHLY;0;PREMIUM;TRUE;FALSE;100;
CHATFUNNELTAP25;LOWTICKET;PRO - TAP;30;5000;MONTHLY;1;PREMIUM;TRUE;TRUE;0;
NM98MZUVAPS3;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
gabi;LOWTICKET;pro;10;5000;YEARLY;1;PREMIUM;TRUE;FALSE;0;
QWG45CNYHL7V;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
B3TRYLESA3WG;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
0PA29WDZFZVH;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
2ATYCYFZB3AY;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
ZTBT9RABPK65;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
C07NQV7D6OBO;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
AQRG52TPWB7Y;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
RWBEDWXBRZZC;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
BWPFO6YACHJG;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
EMIM5OZA7ZD6;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
TZUKCMO4LCRE;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
HN8YNNW8ROV8;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
7VGVT5J9UJLT;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
L6BNL3PHRC8U;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
