"calls","total_ms","mean_ms","max_ms","rows","total_time_pct","query"
11463,36682970.06,3200.12,51768.47,565613,24.99,"SELECT ""public"".""Tags"".""id"", ""public"".""Tags"".""name"", ""public"".""Tags"".""accountId"", ""public"".""Tags"".""folderId"", COALESCE(""aggr_selection_0_TagsContacts"".""_aggr_count_tagsContacts"", $4) AS ""_aggr_count_tagsContacts"", COALESCE(""aggr_selection_1_IGAutomationsTriggersTags"".""_aggr_count_triggers"", $5) AS ""_aggr_count_triggers"", COALESCE(""aggr_selection_2_IGAutomationsStepActionsTags"".""_aggr_count_actions"", $6) AS ""_aggr_count_actions"" FROM ""public"".""Tags"" LEFT JOIN (SELECT ""public"".""TagsContacts"".""tagId"", COUNT(*) AS ""_aggr_count_tagsContacts"" FROM ""public"".""TagsContacts"" LEFT JOIN ""public"".""Contacts"" AS ""j1"" ON (""j1"".""id"") = (""public"".""TagsContacts"".""contactId"") WHERE (""j1"".""isDeleted"" = $1 AND (""j1"".""id"" IS NOT NULL)) GROUP BY ""public"".""TagsContacts"".""tagId"") AS ""aggr_selection_0_TagsContacts"" ON (""public"".""Tags"".""id"" = ""aggr_selection_0_TagsContacts"".""tagId"") LEFT JOIN (SELECT ""public"".""IGAutomationsTriggersTags"".""tagId"", COUNT(*) AS ""_aggr_count_triggers"" FROM ""public"".""IGAutomationsTriggersTags"" WHERE $7=$8 GROUP BY ""public"".""IGAutomationsTriggersTags"".""tagId"") AS ""aggr_selection_1_IGAutomationsTriggersTags"" ON (""public"".""Tags"".""id"" = ""aggr_selection_1_IGAutomationsTriggersTags"".""tagId"") LEFT JOIN (SELECT ""public"".""IGAutomationsStepActionsTags"".""tagId"", COUNT(*) AS ""_aggr_count_actions"" FROM ""public"".""IGAutomationsStepActionsTags"" WHERE $9=$10 GROUP BY ""public"".""IGAutomationsStepActionsTags"".""tagId"") AS ""aggr_selection_2_IGAutomationsStepActionsTags"" ON (""public"".""Tags"".""id"" = ""aggr_selection_2_IGAutomationsStepActionsTags"".""tagId"") WHERE ""public"".""Tags"".""accountId"" = $2 OFFSET $3"
71,11804763.04,166264.27,2668456.89,71,8.04,"WITH card_entry AS (
        SELECT
          COALESCE(
            (SELECT MAX(h.""createdAt"") FROM ""KanbanCardsHistory"" h
              WHERE h.""cardId"" = kc.""id""
                AND h.""action""::text IN ($5, $6)
                AND h.""columnId"" = kc.""columnId""),
            kc.""createdAt""
          ) AS entered_at
        FROM ""KanbanCards"" kc
        JOIN ""Kanbans"" k ON kc.""kanbanId"" = k.""id""
        WHERE k.""accountId"" = $1::uuid
          AND k.""isDeleted"" = $7
          AND kc.""isDeleted"" = $8
          AND kc.""statusOportunity""::text = $9
          AND kc.""createdAt"" BETWEEN $2 AND $3
          AND kc.""kanbanId"" = $4::uuid
      ),
      ages AS (SELECT (NOW() - (entered_at AT TIME ZONE $10)) AS age FROM card_entry)
      SELECT
        COUNT(*) FILTER (WHERE age <  interval $11)::int AS b0,
        COUNT(*) FILTER (WHERE age >= interval $12  AND age < interval $13)::int  AS b1,
        COUNT(*) FILTER (WHERE age >= interval $14  AND age < interval $15)::int AS b2,
        COUNT(*) FILTER (WHERE age >= interval $16)::int AS b3
      FROM ages"
2415,11110280.82,4600.53,92700.91,2415,7.57,"SELECT
        COUNT(*) FILTER (WHERE m.""createdAt"" BETWEEN $1 AND $2)::int AS current,
        COUNT(*) FILTER (WHERE m.""createdAt"" BETWEEN $3 AND $4)::int AS previous
      FROM ""Messages"" m
      JOIN ""Contacts"" c ON c.""id"" = m.""contactId""
      WHERE c.""accountId"" = $5::uuid
        AND m.""isDeleted"" = $8
        AND m.""contabilableOnMetrics"" = $9
        AND m.""from""::text IN ($10, $11)
        AND m.""createdAt"" BETWEEN $6 AND $7"
52796,8455949.10,160.16,15470.92,52796,5.76,"SELECT
         COUNT(DISTINCT ""Contacts"".""id"")::integer AS count
      FROM
        ""ContactsChannels""
        INNER JOIN ""Contacts"" ON ""ContactsChannels"".""contactId"" = ""Contacts"".""id""
        AND ""Contacts"".""accountId"" = $1::uuid
        AND ""Contacts"".""isDeleted"" = $3
        AND ""ContactsChannels"".""channelId"" = $2::uuid
      WHERE ""ContactsChannels"".""isArchived"" = $4 AND ""ContactsChannels"".""isVisualized"" = $5"
45735,7141446.13,156.15,15491.00,2184018,4.86,"SELECT
          ""Contacts"".""id"",
        ""Contacts"".""name"",
        ""Contacts"".""photo"",
        ""ContactsChannels"".""lastUpdate"",
        ""ContactsChannels"".""isVisualized"",
        ""ContactsChannels"".""servedByAssistant"",
        ""ContactsChannels"".""servedByAssistantId"",
        ""ContactsChannels"".""servedByAssistantName"",
        EXISTS (
          SELECT $5
          FROM ""IGAutomationsBlacklist""
          WHERE ""IGAutomationsBlacklist"".""contactId"" = ""ContactsChannels"".""contactId""
            AND (
              ""IGAutomationsBlacklist"".""channelId"" = ""ContactsChannels"".""channelId""
              OR ""IGAutomationsBlacklist"".""channelId"" IS NULL
            )
        ) AS ""blackListed"",
        ""ContactsChannels"".""isArchived"",
        ""ContactsChannels"".""blockedAgent"",
        ""ContactsChannels"".""needsHumanAttention"",
        ""Contacts"".""isActive"",
        ""ContactsChannels"".""transferModerator"",
        ""ContactsChannels"".""transferModeratorAt"",
        ""ContactsChannels"".""moderatorId"",
        ""ContactsChannels"".""callUnanswered"",
        ""ContactsChannels"".""callUnansweredAt""
      FROM
        ""ContactsChannels""
        INNER JOIN ""Contacts"" ON ""ContactsChannels"".""contactId"" = ""Contacts"".""id""
        AND ""Contacts"".""accountId"" = $1::uuid
        AND ""Contacts"".""isDeleted"" = $6
        AND ""ContactsChannels"".""channelId"" = $2::uuid
      WHERE ""ContactsChannels"".""isArchived"" = $7
    
      ORDER BY
        ""ContactsChannels"".""lastUpdate"" DESC NULLS LAST 
      LIMIT $3
      OFFSET $4"
2715,5223278.31,1923.86,64190.81,6905,3.56,"SELECT
      ""Contacts"".""id"",
      ""Contacts"".""name"",
      ""Contacts"".photo,
      COUNT ( ""Interactions"".""id"" )  as quantity
    FROM
      ""Contacts""
      LEFT JOIN ""Interactions"" ON ""Interactions"".""contactId"" = ""Contacts"".""id""
    WHERE
      ""Contacts"".""accountId"" = $1::uuid
      AND ""Contacts"".""isDeleted"" = $2
      AND ""Interactions"".""createdAt"" > (NOW() - INTERVAL $3)
    GROUP BY
      ""Contacts"".""id"",
      ""Contacts"".""name"",
      ""Contacts"".photo,
      ""Contacts"".""dateCreated""
    ORDER BY quantity DESC ,""Contacts"".""name""
    LIMIT $4
    OFFSET $5"
44338,4348456.29,98.08,13154.74,1055320,2.96,"WITH base AS (
        SELECT
          kc.id, kc.position, kc.""contactId"", kc.""kanbanId"", kc.""columnId"",
          kc.""statusOportunity"", kc.priority, kc.""createdAt"", kc.""isDeleted"", kc.amount,
          c.name AS ""contact_name"",
          c.photo AS ""contact_photo"",
          c.""isActive"" AS ""contact_active""
        FROM ""KanbanCards"" kc JOIN ""Contacts"" c ON kc.""contactId"" = c.id AND c.""isDeleted"" = $7 JOIN ""Kanbans"" k ON kc.""kanbanId"" = k.id
        WHERE k.""accountId"" = $1::uuid AND k.id = $2::uuid AND kc.""isDeleted"" = $8 AND kc.""columnId"" = $3::uuid AND kc.""statusOportunity"" = $4::""KanbanCardsStatusOportunityEnum""
      ),
      paginated AS (
        SELECT
          b.*,
          COUNT(*) OVER () AS total_count,
          COALESCE(SUM(amount) OVER (), $9) AS total_amount
        FROM base b
        ORDER BY b.position ASC
        LIMIT $5 OFFSET $6
      )
      SELECT
        p.*,
        EXISTS (
          SELECT $10 FROM ""Messages"" m
          WHERE m.""contactId"" = p.""contactId""
          AND m.from = $11
          AND m.""readAt"" IS NULL
          AND m.""isObservation"" = $12
        ) AS ""hasActivity"",
        (
          SELECT COALESCE(json_agg(json_build_object($13, json_build_object($14, u.id, $15, u.name))), $16::json)
          FROM ""KanbanCardsModerators"" kcm JOIN ""Users"" u ON kcm.""userId"" = u.id
          WHERE kcm.""kanbanCardId"" = p.id
        ) AS moderators,
        (
          SELECT COALESCE(json_agg(json_build_object($17, t.id, $18, t.name)), $19::json)
          FROM ""TagsContacts"" tc JOIN ""Tags"" t ON tc.""tagId"" = t.id
          WHERE tc.""contactId"" = p.""contactId""
        ) AS tags
      FROM paginated p"
3299,3436936.82,1041.81,10466.01,24505,2.34,"SELECT ""public"".""IGAutomations"".""id"", ""public"".""IGAutomations"".""name"", ""public"".""IGAutomations"".""type""::text, ""public"".""IGAutomations"".""shared"", ""public"".""IGAutomations"".""isActive"", ""public"".""IGAutomations"".""createdAt"", ""public"".""IGAutomations"".""firstStepId"", ""public"".""IGAutomations"".""folderId"", COALESCE(""aggr_selection_0_IGAutomationsExecutions"".""_aggr_count_executions"", $5) AS ""_aggr_count_executions"" FROM ""public"".""IGAutomations"" LEFT JOIN (SELECT ""public"".""IGAutomationsExecutions"".""automationId"", COUNT(*) AS ""_aggr_count_executions"" FROM ""public"".""IGAutomationsExecutions"" WHERE $6=$7 GROUP BY ""public"".""IGAutomationsExecutions"".""automationId"") AS ""aggr_selection_0_IGAutomationsExecutions"" ON (""public"".""IGAutomations"".""id"" = ""aggr_selection_0_IGAutomationsExecutions"".""automationId"") WHERE (""public"".""IGAutomations"".""accountId"" = $1 AND ""public"".""IGAutomations"".""type"" = CAST($2::text AS ""public"".""IGAutomationsTypeEnum"")) ORDER BY ""public"".""IGAutomations"".""createdAt"" DESC LIMIT $3 OFFSET $4"
39632,3272689.08,82.58,7103.77,39632,2.23,"SELECT
         COUNT(DISTINCT ""Contacts"".""id"")::integer AS count
      FROM
        ""ContactsChannels""
        INNER JOIN ""Contacts"" ON ""ContactsChannels"".""contactId"" = ""Contacts"".""id""
        AND ""Contacts"".""accountId"" = $1::uuid
        AND ""Contacts"".""isDeleted"" = $7
        AND ""ContactsChannels"".""channelId"" = $2::uuid
      WHERE ""ContactsChannels"".""isArchived"" = $8 AND ""ContactsChannels"".""isVisualized"" = $9 AND (""Contacts"".""name"" ILIKE $3 OR ""Contacts"".""email"" ILIKE $4 OR ""Contacts"".""phone"" LIKE $5 OR ""Contacts"".""phone"" LIKE $6)"
39238,3241538.90,82.61,7123.71,34387,2.21,"SELECT
          ""Contacts"".""id"",
        ""Contacts"".""name"",
        ""Contacts"".""photo"",
        ""ContactsChannels"".""lastUpdate"",
        ""ContactsChannels"".""isVisualized"",
        ""ContactsChannels"".""servedByAssistant"",
        ""ContactsChannels"".""servedByAssistantId"",
        ""ContactsChannels"".""servedByAssistantName"",
        EXISTS (
          SELECT $9
          FROM ""IGAutomationsBlacklist""
          WHERE ""IGAutomationsBlacklist"".""contactId"" = ""ContactsChannels"".""contactId""
            AND (
              ""IGAutomationsBlacklist"".""channelId"" = ""ContactsChannels"".""channelId""
              OR ""IGAutomationsBlacklist"".""channelId"" IS NULL
            )
        ) AS ""blackListed"",
        ""ContactsChannels"".""isArchived"",
        ""ContactsChannels"".""blockedAgent"",
        ""ContactsChannels"".""needsHumanAttention"",
        ""Contacts"".""isActive"",
        ""ContactsChannels"".""transferModerator"",
        ""ContactsChannels"".""transferModeratorAt"",
        ""ContactsChannels"".""moderatorId"",
        ""ContactsChannels"".""callUnanswered"",
        ""ContactsChannels"".""callUnansweredAt""
      FROM
        ""ContactsChannels""
        INNER JOIN ""Contacts"" ON ""ContactsChannels"".""contactId"" = ""Contacts"".""id""
        AND ""Contacts"".""accountId"" = $1::uuid
        AND ""Contacts"".""isDeleted"" = $10
        AND ""ContactsChannels"".""channelId"" = $2::uuid
      WHERE ""ContactsChannels"".""isArchived"" = $11 AND (""Contacts"".""name"" ILIKE $3 OR ""Contacts"".""email"" ILIKE $4 OR ""Contacts"".""phone"" LIKE $5 OR ""Contacts"".""phone"" LIKE $6)
    
      ORDER BY
        ""ContactsChannels"".""lastUpdate"" DESC NULLS LAST 
      LIMIT $7
      OFFSET $8"
